Issue ID,Issue Title,Issue Description,Documentation Page
28,OpenID Connect UserInfo Endpoint Returns Incomplete Data,The OpenID Connect UserInfo endpoint is returning only a subset of the expected user profile attributes.,https://www.cymbalgroup.com/docs/auth/oauth-openid
29,Inconsistent Error Codes for Payment API,"The payment API returns varying error codes for the same type of failure (e.g., card declined), making automated error handling difficult.",https://www.cymbalgroup.com/docs/features/payments-billing
30,Payment Capture API Idempotency Flaw,"The payment capture API is not fully idempotent, leading to occasional double charges if retries occur too quickly.",https://www.cymbalgroup.com/docs/features/payments-billing
31,Payment Reconciliation API Slow for Large Batches,The payment reconciliation API takes an excessively long time to process large daily transaction batches.,https://www.cymbalgroup.com/docs/features/payments-billing
32,Subscription Management API Flakiness,"The API for managing recurring subscriptions is frequently returning transient errors, impacting customer billing.",https://www.cymbalgroup.com/docs/features/payments-billing
33,Rate Limiting Headers Undocumented,"Developers require clarification on the exact headers used for rate limiting and how to interpret them, as current documentation is vague.",https://www.cymbalgroup.com/docs/core/errors-and-rate-limits
34,API Error Responses Lack Standardization,"Different API endpoints return error messages in inconsistent formats (JSON, plain text, XML), making unified error handling difficult.",https://www.cymbalgroup.com/docs/core/errors-and-rate-limits
35,Global API Latency Spike,A significant and sustained increase in API response times (avg 500ms to 2000ms) has been observed across all endpoints for the last 24 hours.,https://www.cymbalgroup.com/docs/core/errors-and-rate-limits
36,MFA Bypass on Developer Account Login,A security vulnerability allows multi-factor authentication to be bypassed on developer portal logins by manipulating session cookies.,https://www.cymbalgroup.com/docs/platform/security
37,Stored XSS Vulnerability in Developer Portal,A stored Cross-Site Scripting (XSS) vulnerability has been discovered in the developer portal's project description field.,https://www.cymbalgroup.com/docs/platform/security
38,Developer Portal Password Reset Flaw,A flaw in the developer portal's password reset mechanism allows an attacker to reset any user's password without proper authorization.,https://www.cymbalgroup.com/docs/platform/security
39,Developer Portal SSO Integration Broken,"The single sign-on (SSO) integration with the SSO provider for the developer portal is consistently failing, preventing enterprise users from logging in.",https://www.cymbalgroup.com/docs/features/developer-portal
40,Developer Portal Weak Account Lockout Policy,"The developer portal's account lockout policy is too weak, allowing brute-force password guessing attacks.",https://www.cymbalgroup.com/docs/features/developer-portal
41,Developer Portal Broken Access Control,A broken access control vulnerability in the developer portal allows users to view or modify projects belonging to other accounts.,https://www.cymbalgroup.com/docs/features/developer-portal
42,OpenAPI Specification Not Up-to-Date,The published API specification file for the API is significantly out of date with the current API endpoints and schemas.,https://www.cymbalgroup.com/docs/core/api-standards
43,API Versioning Strategy Unclear for Deprecations,Developers are confused about the deprecation schedule and how to safely migrate between different API versions.,https://www.cymbalgroup.com/docs/core/api-standards
44,Missing Node.js SDK Setup Guide for Express,"There is no dedicated guide for integrating the Node.js SDK with common frameworks like Express.js, making setup more complex.",https://www.cymbalgroup.com/docs/sdks/javascript-typescript
45,TypeScript SDK Type Definitions Out of Sync,"The TypeScript SDK's type definitions are not in sync with the latest API response structures, causing compilation errors.",https://www.cymbalgroup.com/docs/sdks/javascript-typescript
46,Java SDK Date Format Discrepancy,"The Java SDK handles date formats inconsistently when serializing/deserializing date fields, causing parsing issues on the client side.",https://www.cymbalgroup.com/docs/sdks/java
47,C# SDK Serialization of Enum Types,"The C# SDK incorrectly serializes enum types to integers instead of their string representations, causing API request failures.",https://www.cymbalgroup.com/docs/sdks/net
48,Missing Mobile SDK UI Framework Guide,A dedicated guide for integrating the mobile SDK with modern declarative UI frameworks is currently missing.,https://www.cymbalgroup.com/docs/sdks/mobile
49,Rust SDK Panics on Malformed JSON Input,The Rust SDK panics and crashes when receiving malformed JSON in an API response instead of returning a proper error.,https://www.cymbalgroup.com/docs/sdks/native-systems
50,PHP SDK Version Incompatibility,The PHP SDK documentation refers to a PHP version that is end-of-life and not supported by many modern development environments.,https://www.cymbalgroup.com/docs/sdks/functional-data
